BRANCHCODE;BRANCHINFO;INSTITUTIONNAME;PHYSICALADDRESS;COUNTRYNAME;SWIFTCODE;CITYNAME
000155;CIB: JHB OPS HUB;STANDARD BANK;BLOCK D;SOUTH AFRICA;SBZAZAJJ;CIB: JHB OPS HUB
000205;JOHANNESBURG;STANDARD BANK;88 COMMISSIONER STREET;SOUTH AFRICA;SBZAZAJJ;JOHANNESBURG
000253;CIB: SANDRAND SANDTON;STANDARD BANK;156 5TH STREET;SOUTH AFRICA;SBZAZAJJ;CIB: SANDRAND SANDTON
000355;PARKTOWN;STANDARD BANK;MOORES ROWLAND HOUSE ST.DAVIDS PLACE OFF;SOUTH AFRICA;SBZAZAJJ;PARKTOWN
000353;FIXEDPLUS DEPOSIT;STANDARD BANK;5 SIMMONDS STREET;SOUTH AFRICA;SBZAZAJJ;FIXEDPLUS DEPOSIT
000653;CIB:BRANCH;STANDARD BANK;25 SAUER STREET;SOUTH AFRICA;SBZAZAJJ;CIB:BRANCH
001005;LIBRARY GARDENS;STANDARD BANK;57 PRESIDENT STREET;SOUTH AFRICA;SBZAZAJJ;LIBRARY GARDENS
001014;GEORGE CLEARING HOUSE;STANDARD BANK;BARCLAYS NATIONAL BANK LIMITED;SOUTH AFRICA;SBZAZAJJ;GEORGE CLEARING HOUSE
001106;NORTHGATE;STANDARD BANK;NORTHGATE SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;NORTHGATE
001155;MIDRAND;STANDARD BANK;SHOP 7 & 8;SOUTH AFRICA;SBZAZAJJ;MIDRAND
001255;WOODMEAD;STANDARD BANK;WOODMEAD RETAIL PARK;SOUTH AFRICA;SBZAZAJJ;WOODMEAD
001206;CLEARWATER;STANDARD BANK;CLEARWATER SHOPPING CENTRE CNR HENDRIK POTGIET;SOUTH AFRICA;SBZAZAJJ;CLEARWATER
001263;TEMBISA;STANDARD BANK;SHOP 37 TEMBISA PLAZA;SOUTH AFRICA;SBZAZAJJ;TEMBISA
001509;CIB: WESTERN CAPE;STANDARD BANK;21ST FLOOR;SOUTH AFRICA;SBZAZAJJ;CIB: WESTERN CAPE
001526;CIB: KWA-ZULU NATAL;STANDARD BANK;1 KINGSMEAD WAY;SOUTH AFRICA;SBZAZAJJ;CIB: KWA-ZULU NATAL
001805;EGOLI;STANDARD BANK;ESSEMBY HOUSE;SOUTH AFRICA;SBZAZAJJ;EGOLI
001963;NORWOOD;STANDARD BANK;NORWOOD MALL 3;SOUTH AFRICA;SBZAZAJJ;NORWOOD
002205;STL ASSET MANAGEMENT;STANDARD BANK;SECOND FLOOR ROSEBANK CORNER 191 JAN SMUTS AVE;SOUTH AFRICA;SBZAZAJJ;STL ASSET MANAGEMENT
002305;CARLTON CENTRE;STANDARD BANK;UPPER SHOPPING LEVEL CARLTON CENTRE;SOUTH AFRICA;SBZAZAJJ;CARLTON CENTRE
002356;OPS:VAAL CASH SERVICES;STANDARD BANK;28 C TELFORD STREET;SOUTH AFRICA;SBZAZAJJ;OPS:VAAL CASH SERVICES
002663;DAVEYTON;STANDARD BANK;DAVEYTON SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;DAVEYTON
002705;STL: JOHANNESBURG ADMIN;STANDARD BANK;1ST FLOOR;SOUTH AFRICA;SBZAZAJJ;STL: JOHANNESBURG ADMIN
002756;BUREAU SERVICES;STANDARD BANK;9TH FLOOR;SOUTH AFRICA;SBZAZAJJ;BUREAU SERVICES
003054;SAM NTULI MALL;STANDARD BANK;SHOP 51 SAM NTULI MALL;SOUTH AFRICA;SBZAZAJJ;SAM NTULI MALL
003153;MOBILE MONEY;STANDARD BANK;61 CENTRAL STREET;SOUTH AFRICA;SBZAZAJJ;MOBILE MONEY
003138;KLERKSDORP CLEARING HOUSE;STANDARD BANK;THE STANDARD BANK OF SOUTH AFR;SOUTH AFRICA;SBZAZAJJ;KLERKSDORP CLEARING HOUSE
003255;JOHANNESBURG CLEARING HOUSE;STANDARD BANK;;SOUTH AFRICA;SBZAZAJJ;JOHANNESBURG CLEARING HOUSE
003589;STANDARD TRUST LTD BELLVILLE;STANDARD BANK;REFER ALL QUERIES TO STANDARD TRUST;SOUTH AFRICA;SBZAZAJJ;STANDARD TRUST LTD BELLVILLE
003856;OPS:JOHANNESBURG CASH CENTRE;STANDARD BANK;LOWER GROUND FLOOR STANDARD BANK CENTER;SOUTH AFRICA;SBZAZAJJ;OPS:JOHANNESBURG CASH CENTRE
003905;OPC CENTRAL SERVICES;STANDARD BANK;ENTRANCE 2 3RD FLOOR 5 SIMMONDS STREET;SOUTH AFRICA;SBZAZAJJ;OPC CENTRAL SERVICES
004055;CIB : TPS INV SER GLOB;STANDARD BANK;2ND FLOOR;SOUTH AFRICA;SBZAZAJJ;CIB : TPS INV SER GLOB
004006;MALL OF THE SOUTH;STANDARD BANK;SHOP G146, CNR SWARTKOPPIES AND KLIPRIVER DRIV;SOUTH AFRICA;SBZAZAJJ;MALL OF THE SOUTH
004145;CIB: NORTHERN GAUTENG;STANDARD BANK;4TH FLOOR STANDARD BANK CENTRE;SOUTH AFRICA;SBZAZAJJ;CIB: NORTHERN GAUTENG
